Student,LPIPS,SSIM
112590044.png,0.0,1.0
112590060.png,0.19535638391971588,0.7405510461884589
112590023.png,0.21274617314338684,0.7567537418127733
110590456.png,0.23313242197036743,0.7310499023101974
112590017.png,0.2641419768333435,0.7116791691206562
112590036.png,0.26690855622291565,0.7191730322600348
112590007.png,0.2681756317615509,0.7088749487365608
112590014.png,0.2746868431568146,0.7496161709491117
112590035.png,0.2817974090576172,0.6628075356799233
112590029.png,0.2824362516403198,0.7681819248902636
109810011.png,0.2826729416847229,0.6609833636985024
112590004.png,0.28718918561935425,0.6892249973107104
112590041.png,0.29889142513275146,0.6838815984229999
112590026.png,0.30633869767189026,0.6558393054946223
112590022.png,0.3090740442276001,0.6787589191423221
112590013.png,0.31175604462623596,0.7537678474623487
112590038.png,0.3160090446472168,0.6900124141284674
112590056.png,0.3202750086784363,0.7563303095027165
112590020.png,0.32723820209503174,0.6508469295760825
112590059.png,0.3384562134742737,0.7111086293890332
112590005.png,0.34142836928367615,0.6751331676945679
112590021.png,0.3479563295841217,0.6066306751610006
112590003.png,0.34894290566444397,0.7389369258076939
112590033.png,0.3544507324695587,0.6819190444231177
112ab0053.png,0.35548293590545654,0.7579590459311826
112590057.png,0.37219634652137756,0.5982912883369796
111332012.png,0.3748106360435486,0.6601577788571003
112590012.png,0.38108181953430176,0.7301654440451549
111820017.jpg,0.38673123717308044,0.6816888097669244
112590009.png,0.3942343294620514,0.6327819576695094
110820009.png,0.4064100980758667,0.61330059121859
113378043.png,0.40694546699523926,0.6895412281200411
112590051.png,0.4194870591163635,0.5503336961389853
112590030.png,0.4306475520133972,0.6363059946269608
112590031.png,0.43697792291641235,0.534807384626717
112590052.png,0.4563983082771301,0.5350847993547776
110590041.png,0.4680646061897278,0.6452302990618023
112590018.png,0.47113022208213806,0.522246846932702
112590053.png,0.4976799786090851,0.534266241711791
112590024.png,0.5014329552650452,0.5424471556085976
